------------------------------------------------------------
Client connecting to 172.19.0.2, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 172.18.0.2 port 45686 connected with 172.19.0.2 port 5001 (icwnd/mss/irtt=1/1448/6000)
[ ID] Interval       Transfer     Bandwidth
[  1] 45.0000-46.0000 sec  3.89 GBytes  33.4 Gbits/sec
[  1] 46.0000-47.0000 sec  3.87 GBytes  33.3 Gbits/sec
[  1] 47.0000-48.0000 sec  4.03 GBytes  34.6 Gbits/sec
[  1] 48.0000-49.0000 sec  3.83 GBytes  32.9 Gbits/sec
[  1] 49.0000-50.0000 sec  3.94 GBytes  33.9 Gbits/sec
[  1] 50.0000-51.0000 sec  3.90 GBytes  33.5 Gbits/sec
[  1] 51.0000-52.0000 sec  3.97 GBytes  34.1 Gbits/sec
[  1] 52.0000-53.0000 sec  3.89 GBytes  33.4 Gbits/sec
[  1] 53.0000-54.0000 sec  3.65 GBytes  31.4 Gbits/sec
[  1] 54.0000-55.0000 sec  4.00 GBytes  34.3 Gbits/sec
[  1] 55.0000-56.0000 sec  3.82 GBytes  32.8 Gbits/sec
[  1] 56.0000-57.0000 sec  2.81 GBytes  24.1 Gbits/sec
[  1] 57.0000-58.0000 sec  4.00 GBytes  34.4 Gbits/sec
[  1] 58.0000-59.0000 sec  4.00 GBytes  34.4 Gbits/sec
[  1] 59.0000-60.0000 sec  4.06 GBytes  34.9 Gbits/sec
[  1] 60.0000-61.0000 sec  4.01 GBytes  34.4 Gbits/sec
[  1] 61.0000-62.0000 sec  3.97 GBytes  34.1 Gbits/sec
[  1] 62.0000-63.0000 sec  3.64 GBytes  31.3 Gbits/sec
[  1] 63.0000-64.0000 sec  2.36 GBytes  20.2 Gbits/sec
[  1] 64.0000-65.0000 sec  3.18 GBytes  27.3 Gbits/sec
[  1] 65.0000-66.0000 sec  4.16 GBytes  35.7 Gbits/sec
[  1] 66.0000-67.0000 sec  3.85 GBytes  33.1 Gbits/sec
[  1] 67.0000-68.0000 sec  3.95 GBytes  33.9 Gbits/sec
[  1] 68.0000-69.0000 sec  3.55 GBytes  30.5 Gbits/sec
[  1] 69.0000-70.0000 sec  4.02 GBytes  34.6 Gbits/sec
[  1] 70.0000-71.0000 sec  4.03 GBytes  34.6 Gbits/sec
[  1] 71.0000-72.0000 sec  4.05 GBytes  34.8 Gbits/sec
[  1] 72.0000-73.0000 sec  2.80 GBytes  24.1 Gbits/sec
[  1] 73.0000-74.0000 sec  3.71 GBytes  31.8 Gbits/sec
[  1] 74.0000-75.0000 sec  3.97 GBytes  34.1 Gbits/sec
[  1] 75.0000-76.0000 sec  3.76 GBytes  32.3 Gbits/sec
[  1] 76.0000-77.0000 sec  2.59 GBytes  22.2 Gbits/sec
[  1] 77.0000-78.0000 sec  3.13 GBytes  26.9 Gbits/sec
[  1] 78.0000-79.0000 sec  3.81 GBytes  32.7 Gbits/sec
[  1] 79.0000-80.0000 sec  4.07 GBytes  34.9 Gbits/sec
[  1] 80.0000-81.0000 sec  3.24 GBytes  27.9 Gbits/sec
[  1] 81.0000-82.0000 sec  4.12 GBytes  35.4 Gbits/sec
[  1] 82.0000-83.0000 sec  4.05 GBytes  34.8 Gbits/sec
[  1] 83.0000-84.0000 sec  4.12 GBytes  35.4 Gbits/sec
[  1] 84.0000-85.0000 sec  4.05 GBytes  34.8 Gbits/sec
[  1] 85.0000-86.0000 sec  3.96 GBytes  34.0 Gbits/sec
[  1] 86.0000-87.0000 sec  4.00 GBytes  34.4 Gbits/sec
[  1] 87.0000-88.0000 sec  4.16 GBytes  35.7 Gbits/sec
[  1] 88.0000-89.0000 sec  4.17 GBytes  35.8 Gbits/sec
[  1] 89.0000-90.0000 sec  4.15 GBytes  35.7 Gbits/sec
[  1] 90.0000-91.0000 sec  4.08 GBytes  35.1 Gbits/sec
[  1] 91.0000-92.0000 sec  4.15 GBytes  35.7 Gbits/sec
[  1] 92.0000-93.0000 sec  4.14 GBytes  35.6 Gbits/sec
[  1] 93.0000-94.0000 sec  4.16 GBytes  35.7 Gbits/sec
[  1] 94.0000-95.0000 sec  4.16 GBytes  35.7 Gbits/sec
[  1] 95.0000-96.0000 sec  4.09 GBytes  35.2 Gbits/sec
[  1] 96.0000-97.0000 sec  3.83 GBytes  32.9 Gbits/sec
[  1] 97.0000-98.0000 sec  4.09 GBytes  35.1 Gbits/sec
[  1] 98.0000-99.0000 sec  4.05 GBytes  34.8 Gbits/sec
[  1] 99.0000-100.0000 sec  4.00 GBytes  34.4 Gbits/sec
[  1] 100.0000-101.0000 sec  2.58 GBytes  22.2 Gbits/sec
[  1] 101.0000-102.0000 sec  2.60 GBytes  22.4 Gbits/sec
[  1] 102.0000-103.0000 sec  4.14 GBytes  35.6 Gbits/sec
[  1] 103.0000-104.0000 sec  4.09 GBytes  35.1 Gbits/sec
[  1] 104.0000-105.0000 sec  3.10 GBytes  26.6 Gbits/sec
[  1] 105.0000-106.0000 sec  2.94 GBytes  25.3 Gbits/sec
[  1] 106.0000-107.0000 sec  3.91 GBytes  33.6 Gbits/sec
[  1] 107.0000-108.0000 sec  3.40 GBytes  29.2 Gbits/sec
[  1] 108.0000-109.0000 sec  4.07 GBytes  34.9 Gbits/sec
[  1] 109.0000-110.0000 sec  4.13 GBytes  35.5 Gbits/sec
[  1] 110.0000-111.0000 sec  4.03 GBytes  34.6 Gbits/sec
[  1] 111.0000-112.0000 sec  3.52 GBytes  30.2 Gbits/sec
[  1] 112.0000-113.0000 sec  4.02 GBytes  34.5 Gbits/sec
[  1] 113.0000-114.0000 sec  4.03 GBytes  34.7 Gbits/sec
[  1] 114.0000-115.0000 sec  4.00 GBytes  34.3 Gbits/sec
[  1] 115.0000-116.0000 sec  3.53 GBytes  30.3 Gbits/sec
[  1] 116.0000-117.0000 sec  3.04 GBytes  26.1 Gbits/sec
[  1] 117.0000-118.0000 sec  4.04 GBytes  34.7 Gbits/sec
[  1] 118.0000-119.0000 sec  4.16 GBytes  35.8 Gbits/sec
[  1] 119.0000-120.0000 sec  4.03 GBytes  34.6 Gbits/sec
[  1] 0.0000-120.0063 sec   463 GBytes  33.2 Gbits/sec
