------------------------------------------------------------
Client connecting to 172.19.0.2, UDP port 5001
Sending 1470 byte datagrams, IPG target: 11215.21 us (kalman adjust)
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 172.18.0.2 port 49654 connected with 172.19.0.2 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 55.0000-56.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 56.0000-57.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 57.0000-58.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 58.0000-59.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 59.0000-60.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 60.0000-61.0000 sec   129 KBytes  1.06 Mbits/sec
[  1] 61.0000-62.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 62.0000-63.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 63.0000-64.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 64.0000-65.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 65.0000-66.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 66.0000-67.0000 sec   129 KBytes  1.06 Mbits/sec
[  1] 67.0000-68.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 68.0000-69.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 69.0000-70.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 70.0000-71.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 71.0000-72.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 72.0000-73.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 73.0000-74.0000 sec   129 KBytes  1.06 Mbits/sec
[  1] 74.0000-75.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 75.0000-76.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 76.0000-77.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 77.0000-78.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 78.0000-79.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 79.0000-80.0000 sec   129 KBytes  1.06 Mbits/sec
[  1] 80.0000-81.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 81.0000-82.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 82.0000-83.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 83.0000-84.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 84.0000-85.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 85.0000-86.0000 sec   129 KBytes  1.06 Mbits/sec
[  1] 86.0000-87.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 87.0000-88.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 88.0000-89.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 89.0000-90.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 90.0000-91.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 91.0000-92.0000 sec   129 KBytes  1.06 Mbits/sec
[  1] 92.0000-93.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 93.0000-94.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 94.0000-95.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 95.0000-96.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 96.0000-97.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 97.0000-98.0000 sec   129 KBytes  1.06 Mbits/sec
[  1] 98.0000-99.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 99.0000-100.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 100.0000-101.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 101.0000-102.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 102.0000-103.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 103.0000-104.0000 sec   129 KBytes  1.06 Mbits/sec
[  1] 104.0000-105.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 105.0000-106.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 106.0000-107.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 107.0000-108.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 108.0000-109.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 109.0000-110.0000 sec   129 KBytes  1.06 Mbits/sec
[  1] 110.0000-111.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 111.0000-112.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 112.0000-113.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 113.0000-114.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 114.0000-115.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 115.0000-116.0000 sec   129 KBytes  1.06 Mbits/sec
[  1] 116.0000-117.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 117.0000-118.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 118.0000-119.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 119.0000-120.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 0.0000-120.0144 sec  15.0 MBytes  1.05 Mbits/sec
[  1] Sent 10703 datagrams
