------------------------------------------------------------
Client connecting to 172.19.0.2, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 172.18.0.3 port 45822 connected with 172.19.0.2 port 5001 (icwnd/mss/irtt=1/1448/3000)
[ ID] Interval       Transfer     Bandwidth
[  1] 74.0000-75.0000 sec  1.56 GBytes  13.4 Gbits/sec
[  1] 75.0000-76.0000 sec  2.82 GBytes  24.2 Gbits/sec
[  1] 76.0000-77.0000 sec  2.94 GBytes  25.3 Gbits/sec
[  1] 77.0000-78.0000 sec  2.92 GBytes  25.1 Gbits/sec
[  1] 78.0000-79.0000 sec  2.96 GBytes  25.4 Gbits/sec
[  1] 79.0000-80.0000 sec  2.96 GBytes  25.4 Gbits/sec
[  1] 80.0000-81.0000 sec  1.72 GBytes  14.7 Gbits/sec
[  1] 81.0000-82.0000 sec  1.74 GBytes  15.0 Gbits/sec
[  1] 82.0000-83.0000 sec  1.69 GBytes  14.5 Gbits/sec
[  1] 83.0000-84.0000 sec  1.65 GBytes  14.2 Gbits/sec
[  1] 84.0000-85.0000 sec  1.43 GBytes  12.2 Gbits/sec
[  1] 85.0000-86.0000 sec  1.79 GBytes  15.4 Gbits/sec
[  1] 86.0000-87.0000 sec  2.99 GBytes  25.6 Gbits/sec
[  1] 87.0000-88.0000 sec  2.07 GBytes  17.8 Gbits/sec
[  1] 88.0000-89.0000 sec  2.39 GBytes  20.5 Gbits/sec
[  1] 89.0000-90.0000 sec  2.64 GBytes  22.6 Gbits/sec
[  1] 90.0000-91.0000 sec  3.06 GBytes  26.3 Gbits/sec
[  1] 91.0000-92.0000 sec  3.00 GBytes  25.8 Gbits/sec
[  1] 92.0000-93.0000 sec  3.00 GBytes  25.8 Gbits/sec
[  1] 93.0000-94.0000 sec  2.44 GBytes  21.0 Gbits/sec
[  1] 94.0000-95.0000 sec  2.94 GBytes  25.3 Gbits/sec
[  1] 95.0000-96.0000 sec  2.24 GBytes  19.3 Gbits/sec
[  1] 96.0000-97.0000 sec  1.55 GBytes  13.3 Gbits/sec
[  1] 97.0000-98.0000 sec  2.84 GBytes  24.4 Gbits/sec
[  1] 98.0000-99.0000 sec  2.63 GBytes  22.6 Gbits/sec
[  1] 99.0000-100.0000 sec  1.94 GBytes  16.6 Gbits/sec
[  1] 100.0000-101.0000 sec  2.99 GBytes  25.7 Gbits/sec
[  1] 101.0000-102.0000 sec  2.96 GBytes  25.4 Gbits/sec
[  1] 102.0000-103.0000 sec  3.12 GBytes  26.8 Gbits/sec
[  1] 103.0000-104.0000 sec  3.11 GBytes  26.7 Gbits/sec
[  1] 104.0000-105.0000 sec  3.12 GBytes  26.8 Gbits/sec
[  1] 105.0000-106.0000 sec  2.74 GBytes  23.5 Gbits/sec
[  1] 106.0000-107.0000 sec  2.88 GBytes  24.8 Gbits/sec
[  1] 107.0000-108.0000 sec  2.91 GBytes  25.0 Gbits/sec
[  1] 108.0000-109.0000 sec  2.98 GBytes  25.6 Gbits/sec
[  1] 109.0000-110.0000 sec  3.10 GBytes  26.6 Gbits/sec
[  1] 110.0000-111.0000 sec  3.10 GBytes  26.6 Gbits/sec
[  1] 111.0000-112.0000 sec  3.10 GBytes  26.6 Gbits/sec
[  1] 112.0000-113.0000 sec  3.09 GBytes  26.5 Gbits/sec
[  1] 113.0000-114.0000 sec  2.11 GBytes  18.1 Gbits/sec
[  1] 114.0000-115.0000 sec  2.59 GBytes  22.2 Gbits/sec
[  1] 115.0000-116.0000 sec  1.78 GBytes  15.3 Gbits/sec
[  1] 116.0000-117.0000 sec  1.62 GBytes  13.9 Gbits/sec
[  1] 117.0000-118.0000 sec  2.98 GBytes  25.6 Gbits/sec
[  1] 118.0000-119.0000 sec  2.98 GBytes  25.6 Gbits/sec
[  1] 119.0000-120.0000 sec  2.99 GBytes  25.7 Gbits/sec
[  1] 0.0000-120.0124 sec   307 GBytes  22.0 Gbits/sec
